127.0.0.1 - - [19/Apr/2021:19:07:22 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:07:23 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10211
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:07:23 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:07:23 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:07:23 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:07:23 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:07:23 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:07:23 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/team1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:07:23 -0300] "GET /CapRat/www/common/cadastro-curriculo/assets/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2021:19:07:24 -0300] "GET /favicon.ico HTTP/1.1" 404 774
