0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:56:47 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:14 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:14 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:14 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:14 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:14 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:38 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:38 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:38 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:38 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:58:39 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:34 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:35 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:46 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:46 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:46 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:46 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:47 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:47 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:47 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:47 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:47 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:47 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:55 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:55 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:55 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:55 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:55 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
